timestamp;motion;voltage;illuminace
2021-10-23T12:14:00.355673;422;7.66;548.68
2021-10-23T12:14:00.366226;422;7.66;548.68
2021-10-23T12:14:00.379915;422;7.66;548.68
2021-10-23T12:14:00.438541;1071;7.66;548.68
2021-10-23T12:14:00.449271;1071;7.66;548.68
2021-10-23T12:14:01.809616;1071;7.24;548.68
2021-10-23T12:14:01.848767;1071;7.24;548.68
2021-10-23T12:14:02.202594;1071;7.24;548.68
2021-10-23T12:14:02.213870;1071;7.24;577.56
2021-10-23T12:14:02.300662;765;7.24;577.56
2021-10-23T12:14:02.350748;765;7.24;577.56
2021-10-23T12:14:02.356009;765;7.24;577.56
2021-10-23T12:14:02.430111;765;7.24;577.56
2021-10-23T12:14:03.756651;765;7.54;577.56
2021-10-23T12:14:03.773638;765;7.54;577.56
2021-10-23T12:14:03.998456;765;7.54;577.56
2021-10-23T12:14:04.012152;765;7.54;577.56
2021-10-23T12:14:04.023538;765;7.54;582.63
2021-10-23T12:14:04.042286;765;7.54;582.63
2021-10-23T12:14:04.106055;522;7.54;582.63
2021-10-23T12:14:04.157024;522;7.54;582.63
2021-10-23T12:14:05.121079;522;7.54;582.63
2021-10-23T12:14:05.170245;522;7.54;582.63
2021-10-23T12:14:05.625055;522;7.54;582.63
2021-10-23T12:14:05.638830;522;7.54;582.63
2021-10-23T12:14:05.845009;522;7.25;582.63
2021-10-23T12:14:05.868103;522;7.25;582.63
2021-10-23T12:14:06.455785;522;7.25;582.63
2021-10-23T12:14:06.463656;522;7.25;582.63
2021-10-23T12:14:06.485876;522;7.25;588.87
2021-10-23T12:14:06.495216;522;7.25;588.87
2021-10-23T12:14:06.570436;283;7.25;588.87
2021-10-23T12:14:06.577177;283;7.25;588.87
2021-10-23T12:14:07.476250;283;7.25;588.87
2021-10-23T12:14:07.528550;283;7.25;73.75
2021-10-23T12:14:07.530165;283;7.25;73.75
2021-10-23T12:14:07.583347;283;7.25;73.75
2021-10-23T12:14:07.627370;294;7.25;73.75
2021-10-23T12:14:07.652300;294;7.25;73.75
2021-10-23T12:14:07.774280;294;7.66;73.75
2021-10-23T12:14:07.799428;294;7.66;73.75
2021-10-23T12:14:08.261750;294;7.66;73.75
2021-10-23T12:14:08.306496;294;7.66;73.75
2021-10-23T12:14:09.298762;294;7.58;73.75
2021-10-23T12:14:09.331434;294;7.58;73.75
2021-10-23T12:14:09.629132;294;7.58;73.75
2021-10-23T12:14:09.635648;294;7.58;73.75
2021-10-23T12:14:09.665479;294;7.58;594.34
2021-10-23T12:14:09.674895;294;7.58;594.34
2021-10-23T12:14:09.821140;496;7.58;594.34
2021-10-23T12:14:09.834201;496;7.58;594.34
2021-10-23T12:14:10.848657;496;7.58;594.34
2021-10-23T12:14:10.880286;496;7.58;595.9
2021-10-23T12:14:10.883048;496;7.58;595.9
2021-10-23T12:14:10.924714;496;7.58;595.9
2021-10-23T12:14:10.951604;413;7.58;595.9
2021-10-23T12:14:10.960431;413;7.58;595.9
2021-10-23T12:14:11.236668;413;7.58;595.9
2021-10-23T12:14:11.246879;413;7.58;595.9
2021-10-23T12:14:11.437992;413;7.23;595.9
2021-10-23T12:14:11.472531;413;7.23;595.9
2021-10-23T12:14:12.624988;413;7.23;595.9
2021-10-23T12:14:12.688182;413;7.23;595.9
2021-10-23T12:14:12.698939;413;7.23;612.68
2021-10-23T12:14:12.708579;413;7.23;612.68
2021-10-23T12:14:12.769260;413;7.23;612.68
