[2021-10-23T12:08:43.464202] data: motion: 189, sound: 59.64, illuminace: 517.46, temperature: 25.43
[2021-10-23T12:08:43.473994] data: motion: 189, sound: 59.64, illuminace: 517.46, temperature: 25.43
[2021-10-23T12:08:44.594453] data: motion: 189, sound: 59.64, illuminace: 517.46, temperature: 25.43
[2021-10-23T12:08:44.670008] data: motion: 189, sound: 59.64, illuminace: 517.46, temperature: 25.43
[2021-10-23T12:08:45.063889] data: motion: 189, sound: 59.64, illuminace: 517.46, temperature: 25.44
[2021-10-23T12:08:45.223277] data: motion: 189, sound: 59.64, illuminace: 517.46, temperature: 25.44
[2021-10-23T12:08:45.445051] data: motion: 189, sound: 65.85, illuminace: 517.46, temperature: 25.44
[2021-10-23T12:08:45.455362] data: motion: 189, sound: 65.85, illuminace: 112.64, temperature: 25.44
[2021-10-23T12:08:45.466821] data: motion: 189, sound: 65.85, illuminace: 112.64, temperature: 25.44
[2021-10-23T12:08:45.511118] data: motion: 189, sound: 65.85, illuminace: 112.64, temperature: 25.44
[2021-10-23T12:08:45.520657] data: motion: 109, sound: 65.85, illuminace: 112.64, temperature: 25.44
[2021-10-23T12:08:45.521832] data: motion: 109, sound: 65.85, illuminace: 112.64, temperature: 25.44
[2021-10-23T12:08:45.530827] data: motion: 109, sound: 65.85, illuminace: 112.64, temperature: 25.44
[2021-10-23T12:08:45.565459] data: motion: 109, sound: 65.85, illuminace: 112.64, temperature: 25.44
[2021-10-23T12:08:46.167158] data: motion: 109, sound: 65.85, illuminace: 112.64, temperature: 25.44
[2021-10-23T12:08:46.288837] data: motion: 109, sound: 65.85, illuminace: 112.64, temperature: 25.44
[2021-10-23T12:08:46.323195] data: motion: 109, sound: 65.47, illuminace: 112.64, temperature: 25.44
[2021-10-23T12:08:46.329949] data: motion: 109, sound: 65.47, illuminace: 516.29, temperature: 25.44
[2021-10-23T12:08:46.378704] data: motion: 95, sound: 65.47, illuminace: 516.29, temperature: 25.44
[2021-10-23T12:08:46.427666] data: motion: 95, sound: 65.47, illuminace: 516.29, temperature: 25.44
[2021-10-23T12:08:46.432254] data: motion: 95, sound: 65.47, illuminace: 516.29, temperature: 25.44
[2021-10-23T12:08:46.443352] data: motion: 95, sound: 65.47, illuminace: 516.29, temperature: 25.44
[2021-10-23T12:08:46.842354] data: motion: 95, sound: 65.47, illuminace: 516.29, temperature: 25.44
[2021-10-23T12:08:46.884663] data: motion: 95, sound: 65.47, illuminace: 516.29, temperature: 25.44
[2021-10-23T12:08:48.116894] data: motion: 95, sound: 65.47, illuminace: 516.29, temperature: 25.39
[2021-10-23T12:08:48.124471] data: motion: 95, sound: 65.47, illuminace: 516.29, temperature: 25.39
[2021-10-23T12:08:48.164371] data: motion: 95, sound: 65.47, illuminace: 516.29, temperature: 25.39
